archivo,extension,tamano_mb,sha256_12,estado_lectura,filas,columnas,hojas,cabecera_o_hoja
Base de datos nvestigación portafolio de negocios 4.0/Informe_registros_activos_de_proyectos_generacion_electrica_abril_2026.xlsx,.xlsx,0.063,3e516a207ee2,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/Informe_registros_activos_de_proyectos_generacion_electrica_enero_2026.xlsx,.xlsx,0.048,be8a6a7e86fb,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
"Base de datos nvestigación portafolio de negocios 4.0/OECD.CFE.TOU,DSD_TOURISM_ENT_EMP@DF_ENT_EMP,1.0+all (1).csv",.csv,1.628,6c8bc21721ec,"texto utf-8-sig delim=','",no contado; archivo grande,22,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; MEASURE; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.CFE.TOU,DSD_TOURISM_ENT_EMP@DF_ENT_EMP,1.0+all.csv",.csv,1.628,6c8bc21721ec,"texto utf-8-sig delim=','",no contado; archivo grande,22,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; MEASURE; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.STI.DEP,DSD_ICT_B@DF_BUSINESSES,1.0+all (1).csv",.csv,27.294,349ff089f6f7,"texto utf-8-sig delim=','",no contado; archivo grande,34,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; FREQ; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.STI.DEP,DSD_ICT_B@DF_BUSINESSES,1.0+all (2).csv",.csv,27.294,349ff089f6f7,"texto utf-8-sig delim=','",no contado; archivo grande,34,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; FREQ; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.STI.DEP,DSD_ICT_B@DF_BUSINESSES,1.0+all.csv",.csv,27.294,349ff089f6f7,"texto utf-8-sig delim=','",no contado; archivo grande,34,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; FREQ; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.STI.DEP,DSD_ICT_HH_IND@DF_HH,1.0+all (1).csv",.csv,2.849,d6445f3b60c5,"texto utf-8-sig delim=','",no contado; archivo grande,42,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; FREQ; 
"Base de datos nvestigación portafolio de negocios 4.0/OECD.STI.DEP,DSD_ICT_HH_IND@DF_HH,1.0+all.csv",.csv,2.849,d6445f3b60c5,"texto utf-8-sig delim=','",no contado; archivo grande,42,,STRUCTURE; STRUCTURE_ID; STRUCTURE_NAME; ACTION; REF_AREA; ; FREQ; 
Base de datos nvestigación portafolio de negocios 4.0/Registro_Nacional_de_Turismo_-_RNT.csv,.csv,92.001,53bcbbcd1569,"texto utf-8-sig delim=','",no contado; archivo grande,14,,CODIGO_RNT; ESTADO_RNT; RAZON_SOCIAL_ESTABLECIMIENTO; DEPARTAMENTO; CODIGO_DEPARTAMENTO; MUNICIPIO; CODIGO_MUNICIPIO; NIT
Base de datos nvestigación portafolio de negocios 4.0/SDG_0861_SEX_RT_A-20260603T2116.csv,.csv,2.702,39a5d4b24cad,"texto utf-8-sig delim=','",no contado; archivo grande,9,,ref_area.label; source.label; indicator.label; sex.label; time; obs_value; obs_status.label; note_indicator.label
Base de datos nvestigación portafolio de negocios 4.0/Tablero_informativo_sobre_informe_registros_activos_abril_2026.xlsx,.xlsx,0.164,56a2494ab1b2,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/VIVIENDAS_Cuadros_CNPV_2018.XLSX,.xlsx,8.017,40e6803de3e6,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-ECV-2025.xlsx,.xlsx,2.436,c30823603d8e,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-EMA-Desestacionalizado-mar2026.xlsx,.xlsx,0.064,fabc6a25b586,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-EMA-mar2026.xlsx,.xlsx,1.673,d9f1cbdffdc5,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-ENTICHogares-2024.xlsx,.xlsx,3.942,8831f5067dd9,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-GEIHDepartamentos-2025 (1).xls,.xls,1.174,ed0686487bbf,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-GEIHDepartamentos-2025 (2).xls,.xls,1.174,ed0686487bbf,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-GEIHDepartamentos-2025 (3).xls,.xls,1.174,ed0686487bbf,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-GEIHDepartamentos-2025.xls,.xls,1.174,ed0686487bbf,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-GEIHEISS-ene-mar2026.xlsx,.xlsx,1.458,385a0f40e07c,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/anex-PMultidimensional-2025.xlsx,.xlsx,0.429,c8ce1c3e7225,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
